city,年份,年末常住总人口（万）,年末户籍总户数（万）,年末户籍总人口,男, 女,出生人数,死亡人数,出生率（‰）,死亡率（‰）,自然增长率（‰）,人口密度（按户籍人口计算）（人/平方公里）,人口密度（按常住人口计算）（人/平方公里）,城市就业人口（万人）,全市生产总值（按当年价计算）  （万元）,  第一产业（万元）,  第二产业（万元）,  第三产业（万元）,人均生产总值(按常住人口计算)（元）,第一产业比重,第二产业比重, 第三产业比重,医院,卫生机构病床数,卫生技术人员数,医生,护士 ,普通高等学校数,技工学校数,普通中学数,小学数,普通高等学校在校学生数,技工学校在校学生数,普通中学在校学生数, 小学在校学生数,普通高等学校教职工人数,技工学校教职工人数,普通中学教职工人数,小学教职工人数,社会消费品零售总额（万元）,批发和零售业商品销售额（万元）,住宿和餐饮业营业额（万元）,新签利用外资协议(合同)宗数/(签定合同项数),新签利用外资协议(合同)规定外商投资额/合同利用外资（万美元）,实际利用外资金额（万美元）,进出口总值（万美元）,进口总值（万美元）,出口总值（万美元）,城市留宿旅客（万人次）,国际（及港澳台）旅游（万人次）,国内旅游（万人次）,常住居民人均可支配收入,工资性收入,经营净收入,财产净收入,转移净收入,常住居民人均生活消费支出,食品烟酒（元）,衣着（元）, 居住（元）,生活用品及服务（元）,交通通信,教育文化娱乐（元）,医疗保健,其他用品和服务（元）,一般公共预算收入（亿元）,增值税,营业税,企业所得税,个人所得税,一般公共服务支出,教育支出,科学技术支出,社会保障和就业支出,农林水支出,交通运输支出,客运量（万人）,旅客周转量（万人公里）,货运量（万吨）,货物周转量（万吨公里）,港口货物吞吐量（万吨）,邮电业务总量（万元）,流动电话用户数目（万户）,R&D/GDP%
东莞,2010,822.48000000000002,53.049999999999997,181.77000000000001,922700,895000,19509,8367,10.9,4.6799999999999997,6.2300000000000004,739,3343,626.2527,43398453,155616,23130013,20112824,53959,0.40000000000000002,53.299999999999997,46.299999999999997,71,19980,37487,13214,14689,5,26,190,330,38293,47531,258276,552377,3192,2996,16946,28298,14562684,14271362,739544,875,307282,4961538,1213.3773000000001,517.40219999999999,695.9751,1550.8399999999999,327,1924,,,,,,,,,,,,,,,277.84039999999999,626301,458712,247986,110441,269505,653090,79830,264017,229613,90609,77446,1290692,9312,1090340,5657,674090,1421.77,1.22
东莞,2011,876.67999999999995,53.899999999999999,184.77000000000001,937600,910100,19884,8728,10.92,4.79,6.1299999999999999,751,3356,628.53999999999996,48872609,165536,26135683,22571390,57526,0.29999999999999999,53.5,46.200000000000003,72,22814,39582,13644,16217,6,26,199,324,45081,48159,263076,578279,3542,3048,19563,28420,17063459,18129917,830295,1325,370189,5283359,1352.2382,568.9511,783.28710000000001,1686.1300000000001,357,2258,,,,,,,,,,,,,,,313.06389999999999,719263,453341,265919,111982,326164,832341,181369,243839,180411,252799,80337,1458811,10165,1874802,6848,218360,1545.98,1.51
东莞,2012,924.45000000000005,54.409999999999997,187.02000000000001,949200,921000,24712,9684,13.32,5.2199999999999998,8.0999999999999996,760,3371,631.39999999999998,51902011,173604,27132746,24595661,57633,0.29999999999999999,52.299999999999997,47.399999999999999,73,24617,40597,14043,16914,6,24,203,322,52381,50092,267918,608118,3805,3092,20133,28745,18738545,22307974,873627,690,415522,5655263,1444.1587,593.49810000000002,850.66060000000004,1735.3900000000001,415,2329,,,,,,,,,,,,,,,356.3245,830244,518165,296278,89047,361982,927975,185411,241938,296891,332270,79739,1568758,11191,2967132,9228,250470,1797.75,1.6599999999999999
东莞,2013,962.51999999999998,55.030000000000001,188.93000000000001,958300,931000,22222,8693,11.789999999999999,4.6100000000000003,7.1799999999999997,768,3381,649.60000000000002,57404389,184322,29837208,27382859,60843,0.29999999999999999,52,47.700000000000003,81,25736,42132,14864,18123,6,25,207,321,60877,61011,278289,659138,4146,3449,20665,29527,20951914,29369393,825975,506,415614,6057448,1530.7166999999999,622.07960000000003,908.63710000000003,1795.25,418,2408,,,,,,,,,,,,,,,409.28969999999998,1037248,505285,333022,103505,394668,1135943,170307,266626,289608,233467,78113,1559856,12863,4322745,11187,254730,1850.3900000000001,2
东莞,2014,995.73000000000002,55.880000000000003,191.38999999999999,970200,943700,21383,10253,11.199999999999999,5.3700000000000001,5.8300000000000001,778,3392,682.60000000000002,61748290,191634,32561825,28994831,63065,0.29999999999999999,52.700000000000003,47,83,26704,43091,15081,18841,6,25,212,320,69866,64412,284648,687269,4435,3643,21663,31290,23099694,29033764,670009,465,443973,6519582,1625.3045999999999,654.61279999999999,970.69179999999994,1758.51,356,2435,35712,27889,3862,6264,-2304,26532,8955,1621,4469,1836,4685,3079,1209,680,455.21190000000001,1240962,476997,378775,122854,395318,1189383,141031,289608,233467,358750,5555,854595,15375,4480053,12900,359560,1763.0899999999999,2.1600000000000001
东莞,2015,999.57000000000005,56.719999999999999,195.00999999999999,987099.99999999988,963000,21951,9545,11.34,4.9299999999999997,6.4100000000000001,793,3355,680.09000000000003,66653368,199167,34790502,31663699,66810,0.29999999999999999,52.200000000000003,47.5,85,27457,45226,15889,19782,8,25,218,327,114626,69734,287582,719263,7451,3783,23537,33427,26226475,32191772,681711,440,509080,7066420,1676.7330999999999,639.54700000000003,1037.1860999999999,1878.76,373,2826,38651,38651,3851,6949,-1520,28256,9463,1601,4689,1583,5642,3134,1281,862,517.96820000000002,1421654,538241,396494,144828,470871,1309337,308338,529597,312956,542551,4961,771316,15385,5048509,13149,475590,1756.75,2.3599999999999999
东莞,2016,1016.58,58.259999999999998,200.94,1014700,994700,27613,10475,13.92,5.2800000000000002,8.6400000000000006,817,3358,684.92999999999995,72609151,227590,38594210,33787351,72028,0.29999999999999999,53.200000000000003,46.5,89,28138,47668,16680,21268,9,26,231,328,112603,74700,295753,738686,6440,4126,25527,35959,29888446,39108916,718201,446,479046,7464805,1723.1357,732.78790000000004,990.34789999999998,2007.6700000000001,400,3392,41902,31466,4316,7053,-933,29906,9837,1705,5205,1634,5960,3347,1316,902,544.75429999999994,1659498,330255,467438,197378,636650,1429470,279373,352863,283313,244051,4874,773196,15593,4552332,14584,756060,1575.0799999999999,2.4100000000000001
东莞,2017,1038.22,60.740000000000002,211.31,1063000,1050100,47101,10250,22.219999999999999,4.8399999999999999,17.379999999999999,859,3391,695.70000000000005,80792024,228500,44165319,36398205,78637,0.29999999999999999,54.700000000000003,45,97,29866,50600,17506,22852,9,28,238,329,118416,80294,310169,765120,7078,5272,30035,39761,33130545,51413974,886885,925,261769,7640842,1811.73,773.11649999999997,1038.6134999999999,2161.48,404,3738,45451,34017,4428,7713,-707,31849,10444,1703,5523,1738,6457,3524,1470,990,592.06820000000005,2047853,4487,621889,268924,644053,1475796,339579,444371,379340,356798,4342,681427,16725,4836221,15714,694350,1827.3599999999999,2.48
东莞,2018,1043.77,65.340000000000003,231.59,1153400,1162500,41033,10286,18.350000000000001,4.5999999999999996,13.75,941,3411,705.02999999999997,88181052,258300,49604015,38318737,84708,0.29999999999999999,56.299999999999997,43.399999999999999,102,31059,54317,19516,25452,9,28,240,328,121408,82311,332363,803482,7440,5396,31806,43120,36373743,57454728,1047528,1400,225050,7780274,2033.3109999999999,828.87969999999996,1204.4313,2186.46,402,4032,49331,35883,5150,8766,-469,33209,10603,1839,6347,1752,6465,3757,1488,959,649.91099999999994,2261881,1798,702592,324285,736307,1554296,393445,482051,625137,271636,3383,456292,17272,5272636,16417,1282220,1958.2,2.6800000000000002
东莞,2019,1045.5,73.230000000000004,251.06,1237000,1273600,40305,10583,16.690000000000001,4.3799999999999999,12.31,1021,3441,711.11000000000001,94744279,288465,52989309,41466504,90696,0.29999999999999999,55.899999999999999,43.799999999999997,110,33041,57332,20818,27096,9,28,246,331,124439,84654,349043,837399,7662,5818,34836,45726,40038871,62936933,1180009,1028,197911,7911553,2001.5115000000001,750.6644,1250.8471,2301.6399999999999,405,4344,53657,38169,5881,10017,-410,35730,11315,1952,6912,1893,6795,4144,1662,1056,673.2663,2312510,,694683,234965,859551,1853932,253628,574359,376273,535871,3276,422945,17426,4558906,19808,1947190,1716.02,3.0600000000000001
