city,年份,年末常住总人口（万）,年末户籍总户数（万）,年末户籍总人口,男, 女,出生人数,死亡人数,出生率（‰）,死亡率（‰）,自然增长率（‰）,人口密度（按户籍人口计算）（人/平方公里）,人口密度（按常住人口计算）（人/平方公里）,城市就业人口（万人）,全市生产总值（按当年价计算）  （万元）,  第一产业（万元）,  第二产业（万元）,  第三产业（万元）,人均生产总值(按常住人口计算)（元）,第一产业比重,第二产业比重, 第三产业比重,医院,卫生机构病床数,卫生技术人员数,医生,护士 ,普通高等学校数,技工学校数,普通中学数,小学数,普通高等学校在校学生数,技工学校在校学生数,普通中学在校学生数, 小学在校学生数,普通高等学校教职工人数,技工学校教职工人数,普通中学教职工人数,小学教职工人数,社会消费品零售总额（万元）,批发和零售业商品销售额（万元）,住宿和餐饮业营业额（万元）,新签利用外资协议(合同)宗数/(签定合同项数),新签利用外资协议(合同)规定外商投资额/合同利用外资（万美元）,实际利用外资金额（万美元）,进出口总值（万美元）,进口总值（万美元）,出口总值（万美元）,城市留宿旅客（万人次）,国际（及港澳台）旅游（万人次）,国内旅游（万人次）,常住居民人均可支配收入,工资性收入,经营净收入,财产净收入,转移净收入,常住居民人均生活消费支出,食品烟酒（元）,衣着（元）, 居住（元）,生活用品及服务（元）,交通通信,教育文化娱乐（元）,医疗保健,其他用品和服务（元）,一般公共预算收入（亿元）,增值税,营业税,企业所得税,个人所得税,一般公共服务支出,教育支出,科学技术支出,社会保障和就业支出,农林水支出,交通运输支出,客运量（万人）,旅客周转量（万人公里）,货运量（万吨）,货物周转量（万吨公里）,港口货物吞吐量（万吨）,邮电业务总量（万元）,流动电话用户数目（万户）,R&D/GDP%
东莞,2010,822.48,53.05,181.77,922700.0,895000.0,19509,8367,10.9,4.68,6.23,739.0,3343.0,626.2527,43398453.0,155616.0,23130013.0,20112824.0,53959.0,0.4,53.3,46.3,71,19980,37487,13214,14689,5,26,190,330,38293,47531,258276,552377,3192,2996,16946,28298,14562684,14271362,739544.0,875,307282,4961538,1213.3773,517.4022,695.9751,1550.84,327.0,1924.0,22310.48664705114,30647.615155624655,3929.2955797298773,3809.421455034957,-3725.0766354396014,22158.592723760437,7973.808642626379,1612.5376858144866,2767.493384391583,1863.5775206209134,3934.6211194966368,3290.46329938233,1017.6376344163968,544.2413313124393,277.8404,626301,458712.0,247986.0,110441.0,269505.0,653090.0,79830.0,264017,229613,90609.0,77446.0,1290692.0,9312.0,1090340,5657.0,674090.0,1421.77,1.22
东莞,2011,876.6799999999998,53.9,184.77,937600.0,910100.0,19884,8728,10.92,4.79,6.13,751.0,3356.0,628.54,48872609.0,165536.0,26135683.0,22571390.0,57526.0,0.2999999999999999,53.5,46.2,72,22814,39582,13644,16217,6,26,199,324,45081,48159,263076,578279,3542,3048,19563,28420,17063459,18129917,830295.0,1325,370189,5283359,1352.2382,568.9511,783.2871,1686.13,357.0,2258.0,25583.642803549832,30597.48763563768,4014.882901457937,4447.626718512055,-3083.4222890606543,23772.795011811773,8216.635381380453,1638.1901437411016,3241.9482524785453,1758.260731863397,4446.35281463461,3378.9569184440993,1039.8313049368282,663.7862928908796,313.0639,719263,453341.0,265919.0,111982.0,326164.0,832341.0,181369.0,243839,180411,252799.0,80337.0,1458811.0,10165.0,1874802,6848.0,218360.0,1545.98,1.51
东莞,2012,924.45,54.41,187.02,949200.0,921000.0,24712,9684,13.32,5.22,8.099999999999998,760.0,3371.0,631.4,51902011.0,173604.0,27132746.0,24595661.0,57633.0,0.2999999999999999,52.3,47.4,73,24617,40597,14043,16914,6,24,203,322,52381,50092,267918,608118,3805,3092,20133,28745,18738545,22307974,873627.0,690,415522,5655263,1444.1587,593.4981,850.6606,1735.39,415.0,2329.0,28970.209601707462,27478.65395359549,3855.494507014464,4932.7004442606585,-2815.645016224603,24620.234372002673,8485.053034230532,1623.5297475890286,3706.4596117759615,1786.55537312072,4535.632682791014,3264.255788805532,1090.9965411572439,689.2938390266027,356.3245,830244,518165.0,296278.0,89047.0,361982.0,927975.0,185411.0,241938,296891,332270.0,79739.0,1568758.0,11191.0,2967132,9228.0,250470.0,1797.75,1.66
东莞,2013,962.52,55.03,188.93,958300.0,931000.0,22222,8693,11.79,4.61,7.18,768.0,3381.0,649.6,57404389.0,184322.0,29837208.0,27382859.0,60843.0,0.2999999999999999,52.0,47.7,81,25736,42132,14864,18123,6,25,207,321,60877,61011,278289,659138,4146,3449,20665,29527,20951914,29369393,825975.0,506,415614,6057448,1530.7167,622.0796,908.6371,1795.25,418.0,2408.0,32308.472228027502,34212.91293464239,3588.5164442677515,5735.063461564472,-2554.4649860645586,25235.295804547484,8591.781485325086,1537.3891607569567,3900.1581267294087,1742.0663418993852,4723.290204716121,3037.0619895090463,1149.4095779871689,669.205504226613,409.2897,1037248,505285.0,333022.0,103505.0,394668.0,1135943.0,170307.0,266626,289608,233467.0,78113.0,1559856.0,12863.0,4322745,11187.0,254730.0,1850.39,2.0
东莞,2014,995.73,55.88,191.39,970200.0,943700.0,21383,10253,11.2,5.37,5.83,778.0,3392.0,682.6,61748290.0,191634.0,32561825.0,28994831.0,63065.0,0.2999999999999999,52.7,47.0,83,26704,43091,15081,18841,6,25,212,320,69866,64412,284648,687269,4435,3643,21663,31290,23099694,29033764,670009.0,465,443973,6519582,1625.3046,654.6128,970.6918,1758.51,356.0,2435.0,35712.0,27889.0,3862.0,6264.0,-2304.0,26532.0,8955.0,1621.0,4469.0,1836.0,4685.0,3079.0,1209.0,680.0,455.2119,1240962,476997.0,378775.0,122854.0,395318.0,1189383.0,141031.0,289608,233467,358750.0,5555.0,854595.0,15375.0,4480053,12900.0,359560.0,1763.09,2.16
东莞,2015,999.57,56.72,195.01,987100.0,963000.0,21951,9545,11.34,4.93,6.41,793.0,3355.0,680.09,66653368.0,199167.0,34790502.0,31663699.0,66810.0,0.2999999999999999,52.2,47.5,85,27457,45226,15889,19782,8,25,218,327,114626,69734,287582,719263,7451,3783,23537,33427,26226475,32191772,681711.0,440,509080,7066420,1676.7331,639.547,1037.1861,1878.76,373.0,2826.0,38651.0,38651.0,3851.0,6949.0,-1520.0,28256.0,9463.0,1601.0,4689.0,1583.0,5642.0,3134.0,1281.0,862.0,517.9682,1421654,538241.0,396494.0,144828.0,470871.0,1309337.0,308338.0,529597,312956,542551.0,4961.0,771316.0,15385.0,5048509,13149.0,475590.0,1756.75,2.36
东莞,2016,1016.58,58.26,200.94,1014700.0,994700.0,27613,10475,13.92,5.28,8.64,817.0,3358.0,684.93,72609151.0,227590.0,38594210.0,33787351.0,72028.0,0.2999999999999999,53.2,46.5,89,28138,47668,16680,21268,9,26,231,328,112603,74700,295753,738686,6440,4126,25527,35959,29888446,39108916,718201.0,446,479046,7464805,1723.1357,732.7879,990.3479,2007.67,400.0,3392.0,41902.0,31466.0,4316.0,7053.0,-933.0,29906.0,9837.0,1705.0,5205.0,1634.0,5960.0,3347.0,1316.0,902.0,544.7543,1659498,330255.0,467438.0,197378.0,636650.0,1429470.0,279373.0,352863,283313,244051.0,4874.0,773196.0,15593.0,4552332,14584.0,756060.0,1575.08,2.41
东莞,2017,1038.22,60.74,211.31,1063000.0,1050100.0,47101,10250,22.22,4.84,17.38,859.0,3391.0,695.7,80792024.0,228500.0,44165319.0,36398205.0,78637.0,0.2999999999999999,54.7,45.0,97,29866,50600,17506,22852,9,28,238,329,118416,80294,310169,765120,7078,5272,30035,39761,33130545,51413974,886885.0,925,261769,7640842,1811.73,773.1164999999999,1038.6135,2161.48,404.0,3738.0,45451.0,34017.0,4428.0,7713.0,-707.0,31849.0,10444.0,1703.0,5523.0,1738.0,6457.0,3524.0,1470.0,990.0,592.0682,2047853,4487.0,621889.0,268924.0,644053.0,1475796.0,339579.0,444371,379340,356798.0,4342.0,681427.0,16725.0,4836221,15714.0,694350.0,1827.36,2.48
东莞,2018,1043.77,65.34,231.59,1153400.0,1162500.0,41033,10286,18.35,4.6,13.75,941.0,3411.0,705.03,88181052.0,258300.0,49604015.0,38318737.0,84708.0,0.2999999999999999,56.3,43.4,102,31059,54317,19516,25452,9,28,240,328,121408,82311,332363,803482,7440,5396,31806,43120,36373743,57454728,1047528.0,1400,225050,7780274,2033.311,828.8796999999998,1204.4313,2186.46,402.0,4032.0,49331.0,35883.0,5150.0,8766.0,-469.0,33209.0,10603.0,1839.0,6347.0,1752.0,6465.0,3757.0,1488.0,959.0,649.911,2261881,1798.0,702592.0,324285.0,736307.0,1554296.0,393445.0,482051,625137,271636.0,3383.0,456292.0,17272.0,5272636,16417.0,1282220.0,1958.2,2.68
东莞,2019,1045.5,73.23,251.06,1237000.0,1273600.0,40305,10583,16.69,4.38,12.31,1021.0,3441.0,711.11,94744279.0,288465.0,52989309.0,41466504.0,90696.0,0.2999999999999999,55.9,43.8,110,33041,57332,20818,27096,9,28,246,331,124439,84654,349043,837399,7662,5818,34836,45726,40038871,62936933,1180009.0,1028,197911,7911553,2001.5115,750.6644,1250.8471,2301.64,405.0,4344.0,53657.0,38169.0,5881.0,10017.0,-410.0,35730.0,11315.0,1952.0,6912.0,1893.0,6795.0,4144.0,1662.0,1056.0,673.2663,2312510,-68382.53094698145,694683.0,234965.0,859551.0,1853932.0,253628.0,574359,376273,535871.0,3276.0,422945.0,17426.0,4558906,19808.0,1947190.0,1716.02,3.06
