地区,年份,年末常住总人口（万）,年末户籍总户数,年末户籍总人口,男, 女,出生人数,死亡人数,省内迁入人数,省外迁入人数,迁往省内人数,迁往省外人数,出生率（‰）,死亡率（‰）,自然增长率（‰）,人口密度（按户籍人口计算）（人/平方公里）,人口密度（按常住人口计算）（人/平方公里）,全市生产总值（按当年价计算）  （万元）,  第一产业（万元）,  第二产业（万元）,    其中：工业（万元）,  第三产业（万元）,人均生产总值(按常住人口计算)（元）, 　 第一产业比重, 　 第二产业比重,第二产业：工业比重, 　 第三产业比重,     文化馆,     博物馆,     省级以上文物保护单位,     县级以上公共图书馆,       图书馆图书总藏量（万）,      电台,      电视台,      广播节目综合人口覆盖率,      电视节目综合人口覆盖率,      有线电视入户数,      卫生机构数,医院,       卫生机构病床数,       卫生技术人员数,        医生,           护士 ,普通高等学校数,技工学校数,普通中学数,小学数,普通高等学校在校学生数,     技工学校在校学生数,     普通中学在校学生数, 小学在校学生数,   #普通高等学校教职工人数,     技工学校教职工人数,普通中学教职工人数,小学教职工人数,小学毕业生升学率,初中毕业生升学率,高中毕业生升学率,社会消费品零售总额（万元）,批发和零售业商品销售额（万元）,住宿和餐饮业营业额（万元）,      营业收入（万元）,      营业成本（万元）,      税金及附加（万元）,      其他业务利润（万元）,      销售费用（万元）,      管理费用（万元）,      财务费用（万元）,      营业利润（万元）,      利润总额（万元）,      应付职工薪酬（万元）,      应交增值税（万元）,      资产总计（万元）,      流动资产合计（万元）,      负债合计（万元）,      流动负债合计（万元）,      所有者权益合计（万元）,签定合同项数,合同利用外资（万美元）,实际利用外资金额（万美元）,进出口总值（亿美元）,  进口总值（亿美元）,  出口总值（亿美元）,城市接待过夜旅游总人数（万人次）,    国际旅游（万人次）,    国内旅游（万人次）,旅游收入（亿元）,国内旅游收入（亿元）,出境旅游总人数,    期内常住家庭人口数,    期内常住家庭就业人口,    平均就业者负担人口（人口数/就业人口）,二、常住居民人均可支配收入,    #工资性收入,     经营净收入,     财产净收入,     转移净收入,三、常住居民人均生活消费支出,    #食品烟酒（元）,     衣着（元）,     居住（元）,     生活用品及服务（元）,     交通通信,     教育文化娱乐（元）,     医疗保健,     其他用品和服务（元）,财政收入合计,  增值税,  营业税,  企业所得税,  个人所得税,  城市维护建设税,  耕地占用税,  契税,  其他各项收入,财政支出合计,   一般公共服务支出,   教育支出,   科学技术支出,   文化旅游体育与传媒支出,   社会保障和就业支出,   卫生健康支出,   节能环保支出,   城乡社区支出,   农林水支出,   交通运输支出,   资源勘探信息等支出,   商业服务业等支出,   金融支出,   援助其他地区支出,   自然资源海洋气象等支出,   住房保障支出,   粮油物资储备支出,   其他支出,客运量（万人）,旅客周转量（万人公里）,货运量（万吨）,货物周转量（万吨公里）,港口旅客吞吐量（万人）,港口货物吞吐量（万吨）,机动车总数（辆）,邮电业务总量（万元）
佛山,2011,761.45,1133695,3747651,1865478,1882173,41752,19121,14183,14242,5921,6043,11.2,5.13,6.07,987,2004.981845,62314035.26,1099977.135,39285815.12,37817898.15,21928243,84130.2784,54698.01767,1953546.252,1880551.872,1090414.868,6,7,48,6,357,1,1,99.7,99.5,141,1272,82,24526,35815,12546,14727,3,14,178,423,44551,26617,323449,445475,2590,898,24283,22167,100,99.07,92.05,16978476,51626637,,27949965.5,26356005.2,66311.4,81868.9,610441.8,288140.1,191295.7,526986.1,424952.5,208333.6,239904.2,11577514.9,9551649.7,9749594.5,9565226,1827920.4,236,325699,215440,608.9714,218.0353,390.9361,980.65,125.13,855.52,296.45,233.25,406159,,,,,,,,,,,,,,,,,,3417326,619265,515749,328383,125718,277256,50011,316618,1184326,3886840,602537,834638,128974,77720,277605,200308,218913,245807,262917,137528,96318,50226,3302,,15060,90875,8750,635175,35077.9947,1050960.24,23951.87024,1994549,79.25,5423.28,2076560,1289754.711
佛山,2012,796.3,1140648,3776486,1878773,1897713,45061,22547,12129,11910,5583,11330,11.98,5.99,5.99,994,2096.745739,66429464.08,1196282.727,41786114.94,40261601.25,23447066.41,85288.99256,59457.39202,2076844.679,2001073.621,1165361.154,6,7,49,6,401.4,1,1,99.7,99.5,154.2247,1215,83,25686,37710,13350,15597,3,13,189,411,45778,28522,318633,452779,2595,1085,25750,21416,100,98.72,93.37,18431215,53522571,2034697,30425493,28713789,67973,107376,697910,356896,220223,403183,416325,262364,292099,15163232,11662348,12781771,11559641,2381461,155,330469,234984,610.5774,209.0809,401.4965,1045.22,133.21,912.01,365.73,289.3,446892,,,,,,,,,,,,,,,,,,3840803,661429,517326,397531,103701,301958,60428,317197,1481233,4339550,682877,966523,168320,72387,319352,223344,217365,269686,268497,180147,120036,46207,5971,,27095,99061,16369,656313,43119.9149,1175419.05,25199.05649,2158307,74.1184,5253.01,2149854,1444401.01
佛山,2013,824.07,1159614,3816127,1898275,1917852,44373,18896,13613,12684,6081,6229,11.69,4.98,6.71,1005,2169.867212,70642967.82,1227429.65,43763853.14,42099984.79,25651685.03,87193.62593,60975.14407,2174061.259,2091405.106,1274301.293,7,16,51,6,361,1,1,100,100,159,1366,89,27073,39951,14355,16879,3,12,191,408,47297,19225,315613,463667,2726,970,26015,21631,100,99.03,94.38,20353001,60621321,2242885,40196981.9,38349785.6,91762.1,95587.6,777315.7,426866.1,254718.6,408605.5,512751.3,334948,343189.6,18795823.9,16482064,16617522.7,16139519,2178301.2,205,353477,252089,639.3508,214.1137,425.2371,1118.77,134.56,984.2045,431.09,352.45,484473,,,,,,,,,,,,,,,,,,4382128,784479,564339,386316,119466,319729,52409,415582,1739808,4883953,743097,1024551,163697,66504,343596,251314,281236,356360,284179,383688,74849,48992,8575,,25836,111776,18417,697286,49351.9864,1252671,27650.08798,2407196,73.69,5474.48,2193253,1527204.427
佛山,2014,849.6,1162576,3856084,1917226,1938858,45523,20196,13036,12952,5545,6120,11.87,5.26,6.6,1015,2237.090518,75099636.69,1261883.212,47480886.82,45630501.75,26356866.66,89742.46619,62655.57159,2357541.55,2265665.429,1308682.555,7,16,51,6,376.28,1,1,100,100,160.76,1429,99,29821,41632,14954,17641,3,12,193,406,46706,18249,307769,474382,2769,1083,26581,22112,100,99.06,94.32,22955634,72770724,2410649,42763529.6,40730844.9,91582.1,113931.5,901155.9,499271.3,229451.4,427074,437810.2,401729.1,317676,17319034.8,14719601.7,15196206.3,14560392,2122828.5,235,373217,265588,688.1756,220.9752,467.2,1181.92,137.07,1044.85,496.27,414.27,544598,3.25 ,1.85 ,1.76 ,35140 ,23266 ,4853 ,4870 ,2151 ,24849 ,8488 ,1113 ,5666 ,1245 ,3996 ,2873 ,897 ,572 ,5011922,922049,586729,415521,135045,364716,50931,436963,2099968,5250119,786238,1057418,153760,83248,385613,346778,200011,334195,304043,485842,136414,92421,23478,43911,24651,113861,18822,659415,5975.6,600891.95,29098.23251,2524452,68.33,5907.01,2279549,2228742
佛山,2015,864.34,1167976,3889720,1931219,1958501,56124,30208,14390,12521,4946,7766,14.49,7.8,6.69,1024,2275.902564,81075978.43,1272881.5,50033539.58,48055054.04,29769557.35,94607.72073,63170.29778,2483054.073,2384866.205,1477397.387,7,16,57,6,422,1,1,100,100,165,1475,102,33133,43641,15427,18945,3,12,199,407,49395,16951,306012,490146,2787,1120,27975,22927,100,99.1,95.43,25856323,85543312,2616903,51224730.6,48683403.4,141237.3,113621.7,1116133.3,576580.1,195940.4,535006.3,566382.9,447097.9,358388.8,18565950,15438131.2,16308915.3,15632135,2257034.7,238,289851,237728,657.12,175.07,482.05,1253.1405,137.4799,1115.6606,546.29,461.37,663088,3.30 ,1.86 ,1.77 ,38501 ,25459 ,5165 ,5503 ,2374 ,27713 ,9352 ,1224 ,6021 ,1354 ,4701 ,3455 ,1003 ,603 ,5575469,990869,690268,456157,148591,377433,58247,454878,2399026,7999307,865120,1280022,302739,103232,466134,478269,238768,804267,329144,1079969,738740,79446,43646,20834,35995,227578,79516,825888,5731.1317,551460.77,28208.22066,2463621,62.2866,6146.7452,2465559,2828749.567
佛山,2016,874.77,1198998,4001834,1981403,2020431,60822,21625,46454,37456,4857,5482,15.41,5.47,9.94,1054,2303.365905,87563093.79,1352101,53113316.56,50908350.55,33097676.23,100698.7411,67068.50198,2634589.115,2525215.801,1641749.813,7,18,57,6,492.02,1,1,100,100,165.4,1469,105,34798,47618,16534,21425,3,12,198,408,49994,16533,313354,512455,2810,1067,29247,23644,100,99.31,95.93,28587555,100366501,2862686,62552711.4,58754239.6,167867.8,124352.9,1620805.8,1257782.9,180011.3,615017.8,661954.4,478045.8,403876.6,18770859.6,15775519.4,15717947.3,14918270,3052912.3,229,222797,147167,621.84,152.04,469.8,1351.04,139.75,1211.29,624.73,528.81,1124314,3.366086587,1.908828523,1.763430579,41940.7,27381.2,5759.7,6191.8,2608,30561.6,10169,1330.8,6162.6,1417.7,5562,3985.3,1210,724 ,6045001,1212255,325221,486382,166407,425872,73841,742424,2612599,6958523,910339,1244663,349559,156194,596648,617717,137514,964255,253409,315212,162152,40920,43171,44235,32273,174360,33984,881918,5890.3299,634939.53,29688.99662,2718059,57.42,6610,2554517,4502854.479
佛山,2017,899.99,1254463,4195870,2068998,2126872,99018,27754,71364,64883,6944,6583,24.16,6.78,17.38,1105,2369.772947,93821575.62,1336475,54656989.09,52193125.76,37828111.53,105728.7471,66260.53545,2709816.018,2587661.168,1875464.131,7,18,57,6,567.18,1,1,100,100,165.14,1715,110,35273,51314,18134,23403,13,12,200,409,122005,16028,327678,543598,4714,992,30267,26873,100,99.40323814,96.61,31500053,118587554,2973104,71470435.8,67991968.9,177503.5,114428.9,1609556,951338.1,200075,697801.1,758151.7,590075.4,416229.6,21132826.5,18262710.9,17271361.7,16600822,3861464.8,316,158427,162349,642.61,177.77,464.84,1497.82,146.09,1351.72,709.66,608.57,1355477,3.387715684,1.921538329,1.763022695,45813.28,29508.7806,6449.21128,6944.10252,2911.1856,32648,10624,1312,6706,1536,5929,4368,1400,773 ,6615815,1521648,,588264,221893,464882,61138,791070,2966920,7749551,1140909,1402545,462621,217345,797761,857004,190421,843911,246910,193212,136153,39679,17878,32987,43466,132577,23876,970296,5972.9428,666734.66,31286.76407,2992385,59.47,7967.4022,2809010,3606429.954
佛山,2018,926.04,1312941,4369767,2144151,2225616,78611,23554,70051,63617,8316,6520,18.36,5.5,12.85,1150.629062,2438.36547,99767166,1445501,56635110,53902637,41686555,109272.2091,71630.37661,2806497.027,2671092.022,2065736.125,6,22,57,6,638,1,1,100,100,162.6872,1932,120,37227,55398,20001,25444,13,12,203,413,124245,16399,342533,580066,4728,1049,32737,28619,100,99.2,97.95,34254363,134573792,3228038,78916811.1,74932644.5,200592.7,134715.7,2000156.7,927936.4,201251.8,963402.4,1006438.4,884090.5,563921.7,28620051.7,25424597.1,22221728.7,21470838.7,6398323,751,867500②,457288②,697.6643911,162.0596417,535.6047494,1695.31,156.89,1538.42,809.12,702.52,1427905,3.505270833,1.979333333,1.770935079,49629.5,31093.72841,7226.307105,8188.673522,3120.790963,34051.14875,10902.81312,1287.826371,6979.05,1663.488,6274.121524,4533.506576,1689.88,720 ,7031418,1596247,,643859,259986,501506,48477,668665,3312678,8065443,1232680,1482310,546769,231099,864425,881252,169569,1012713,186263,265906,105212,6105,16891,10603,36791,144209,34836,837810,6119.023,651793.3004,32410.98318,3237645,56.8197,8973.0762,3020746,6869296.262
佛山,2019,943.14,1407963,4612756,2243678,2369078,67371,20532,113608,96121,8789,4812,15,4.57,10.43,1215,2483.391657,107397599,1603999,60885355,57957845,44908245,114914.132,79445.22041,3015619.366,2870621.347,2224281.575,6,23,62,6,686,1,1,100,100,161,2097,127,38085,58215,20937,27108,13,13,212,417,129945,21106,356309,616570,5158,1538,35280,30463,100,99.57,97.79,36852690,147429494,3457827,88387938,84027355.2,237521.1,124256,2257755.1,933780.5,192398,1063299.9,1111994.4,1092330.6,500273.3,33226387.6,29503462.4,25669163.1,24430002.3,7557285.9,702,1148963②,511300②,700.6705707,159.7869456,540.8836251,1932.87,101.17,1831.7,891.86,817.2,1076727,3.5595,1.962,1.814220183,54042.68311,33846.71987,6761.399189,9688.979604,3745.584445,37160.3044,11497.67,1351.444059,8482.42,2009.176126,6190.726479,4726.760544,2097.879935,804 ,7316156,1661715,,761959,188968,508518,19589,769306,3406101,9413223,1352691,1597130,981555,240085,885203,1014477,208541,1274870,232998,170088,8971,27749,4876,79219,47557,161301,8284,1117628,5731.9173,578811.05,33637.07073,3365260,28.9558,9636.2726,3188524,10504898.45
佛山,2020,951.88,1445528,4737736,2296229,2441507,68893,28965,52913,49565,11996,5495,14.74,6.2,8.54,1247.49815,2506.405041,108164709.3,1641198.802,60952966.87,57683374.46,45570543.63,114156.7997,81247.46546,3017473.607,2855612.597,2255967.506,6,25,62,6,736.8993,1,1,100,100,153.89,2281,131,38518,60946,21919,28134,13,13,216,419,148311,23633,372916,638742,5548,1593,39238,31956,100,99.35428965,97.76457715,32890941,155222751,2764161,100412109.3,96046196.9,212467,342141.7,2386373.7,942522.7,192868.3,1075138,1175880.2,1088723.4,414751.6,37389694.2,33167427.7,30000665.9,27941362.4,7364671.5,523,2127873②,459187②,732.3908,134.54,597.8508,1757.19,10.65,1746.54,325.05,321.51,31823,3.59225,1.907,1.883717881,56244.76016,34982.56016,6340.2,10600,4322,36935.95118,11053.49767,1163.97,9315,2173.86736,6534.936815,4017.746462,1939.619796,737 ,7535609,1476534,,656766,232843,461181,22097,1008631,3677557,10030420,1322527,1725234,1015580,224385,891083,1056866,195820,1033402,311763,258888,284582,138925,58873,110985,76491,194583,27864,1102569,2341.5822,165262.9,24030.90081,2389612,1.7483,9284.6815,3363031,13362452.45
