"city","年份","年末户籍总户数.万.","年末户籍总人口","男","女","出生人数","死亡人数","出生率...","死亡率...","自然增长率...","人口密度.按户籍人口计算..人.平方公里.","人口密度.按常住人口计算..人.平方公里.","第一产业.万元.","第二产业.万元.","第三产业.万元.","人均生产总值.按常住人口计算..元.","第一产业比重","第二产业比重","第三产业比重","医院","卫生机构病床数","卫生技术人员数","医生","护士","普通高等学校数","技工学校数","普通中学数","小学数","普通高等学校在校学生数","技工学校在校学生数","普通中学在校学生数","小学在校学生数","普通高等学校教职工人数","技工学校教职工人数","普通中学教职工人数","小学教职工人数","批发和零售业商品销售额.万元.","住宿和餐饮业营业额.万元.","新签利用外资协议.合同.宗数..签定合同项数.","新签利用外资协议.合同.规定外商投资额.合同利用外资.万美元.","实际利用外资金额.万美元.","进口总值.万美元.","出口总值.万美元.","城市留宿旅客.万人次.","国内旅游.万人次.","工资性收入","经营净收入","财产净收入","转移净收入","衣着.元.","生活用品及服务.元.","交通通信","其他用品和服务.元.","一般公共预算收入.亿元.","增值税","营业税","企业所得税","个人所得税","一般公共服务支出","教育支出","科学技术支出","社会保障和就业支出","农林水支出","交通运输支出","客运量.万人.","旅客周转量.万人公里.","货运量.万吨.","货物周转量.万吨公里.","港口货物吞吐量.万吨.","邮电业务总量.万元.","流动电话用户数目.万户.","score"
"东莞",2010,53.05,181.77,922700,895000,19509,8367,10.9,4.68,6.23,739,3343,155616,23130013,20112824,53959,0.4,53.3,46.3,71,19980,37487,13214,14689,5,26,190,330,38293,47531,258276,552377,3192,2996,16946,28298,14271362,739544,875,307282,4961538,517.4022,695.9751,1550.84,1924,30647.61516,3929.29558,3809.421455,-3725.076635,1612.537686,1863.577521,3934.621119,544.2413313,277.8404,626301,458712,247986,110441,269505,653090,79830,264017,229613,90609,77446,1290692,9312,1090340,5657,674090,1421.77,27.1144677908679
"东莞",2011,53.9,184.77,937600,910100,19884,8728,10.92,4.79,6.13,751,3356,165536,26135683,22571390,57526,0.3,53.5,46.2,72,22814,39582,13644,16217,6,26,199,324,45081,48159,263076,578279,3542,3048,19563,28420,18129917,830295,1325,370189,5283359,568.9511,783.2871,1686.13,2258,30597.48764,4014.882901,4447.626719,-3083.422289,1638.190144,1758.260732,4446.352815,663.7862929,313.0639,719263,453341,265919,111982,326164,832341,181369,243839,180411,252799,80337,1458811,10165,1874802,6848,218360,1545.98,31.7463892936809
"东莞",2012,54.41,187.02,949200,921000,24712,9684,13.32,5.22,8.1,760,3371,173604,27132746,24595661,57633,0.3,52.3,47.4,73,24617,40597,14043,16914,6,24,203,322,52381,50092,267918,608118,3805,3092,20133,28745,22307974,873627,690,415522,5655263,593.4981,850.6606,1735.39,2329,27478.65395,3855.494507,4932.700444,-2815.645016,1623.529748,1786.555373,4535.632683,689.293839,356.3245,830244,518165,296278,89047,361982,927975,185411,241938,296891,332270,79739,1568758,11191,2967132,9228,250470,1797.75,34.0254230557164
"东莞",2013,55.03,188.93,958300,931000,22222,8693,11.79,4.61,7.18,768,3381,184322,29837208,27382859,60843,0.3,52,47.7,81,25736,42132,14864,18123,6,25,207,321,60877,61011,278289,659138,4146,3449,20665,29527,29369393,825975,506,415614,6057448,622.0796,908.6371,1795.25,2408,34212.91293,3588.516444,5735.063462,-2554.464986,1537.389161,1742.066342,4723.290205,669.2055042,409.2897,1037248,505285,333022,103505,394668,1135943,170307,266626,289608,233467,78113,1559856,12863,4322745,11187,254730,1850.39,39.7747383111394
"东莞",2014,55.88,191.39,970200,943700,21383,10253,11.2,5.37,5.83,778,3392,191634,32561825,28994831,63065,0.3,52.7,47,83,26704,43091,15081,18841,6,25,212,320,69866,64412,284648,687269,4435,3643,21663,31290,29033764,670009,465,443973,6519582,654.6128,970.6918,1758.51,2435,27889,3862,6264,-2304,1621,1836,4685,680,455.2119,1240962,476997,378775,122854,395318,1189383,141031,289608,233467,358750,5555,854595,15375,4480053,12900,359560,1763.09,42.2147982974624
"东莞",2015,56.72,195.01,987100,963000,21951,9545,11.34,4.93,6.41,793,3355,199167,34790502,31663699,66810,0.3,52.2,47.5,85,27457,45226,15889,19782,8,25,218,327,114626,69734,287582,719263,7451,3783,23537,33427,32191772,681711,440,509080,7066420,639.547,1037.1861,1878.76,2826,38651,3851,6949,-1520,1601,1583,5642,862,517.9682,1421654,538241,396494,144828,470871,1309337,308338,529597,312956,542551,4961,771316,15385,5048509,13149,475590,1756.75,44.2991266192069
"东莞",2016,58.26,200.94,1014700,994700,27613,10475,13.92,5.28,8.64,817,3358,227590,38594210,33787351,72028,0.3,53.2,46.5,89,28138,47668,16680,21268,9,26,231,328,112603,74700,295753,738686,6440,4126,25527,35959,39108916,718201,446,479046,7464805,732.7879,990.3479,2007.67,3392,31466,4316,7053,-933,1705,1634,5960,902,544.7543,1659498,330255,467438,197378,636650,1429470,279373,352863,283313,244051,4874,773196,15593,4552332,14584,756060,1575.08,47.6330449350537
"东莞",2017,60.74,211.31,1063000,1050100,47101,10250,22.22,4.84,17.38,859,3391,228500,44165319,36398205,78637,0.3,54.7,45,97,29866,50600,17506,22852,9,28,238,329,118416,80294,310169,765120,7078,5272,30035,39761,51413974,886885,925,261769,7640842,773.1165,1038.6135,2161.48,3738,34017,4428,7713,-707,1703,1738,6457,990,592.0682,2047853,4487,621889,268924,644053,1475796,339579,444371,379340,356798,4342,681427,16725,4836221,15714,694350,1827.36,50.4836926278527
"东莞",2018,65.34,231.59,1153400,1162500,41033,10286,18.35,4.6,13.75,941,3411,258300,49604015,38318737,84708,0.3,56.3,43.4,102,31059,54317,19516,25452,9,28,240,328,121408,82311,332363,803482,7440,5396,31806,43120,57454728,1047528,1400,225050,7780274,828.8797,1204.4313,2186.46,4032,35883,5150,8766,-469,1839,1752,6465,959,649.911,2261881,1798,702592,324285,736307,1554296,393445,482051,625137,271636,3383,456292,17272,5272636,16417,1282220,1958.2,53.5778641491711
"东莞",2019,73.23,251.06,1237000,1273600,40305,10583,16.69,4.38,12.31,1021,3441,288465,52989309,41466504,90696,0.3,55.9,43.8,110,33041,57332,20818,27096,9,28,246,331,124439,84654,349043,837399,7662,5818,34836,45726,62936933,1180009,1028,197911,7911553,750.6644,1250.8471,2301.64,4344,38169,5881,10017,-410,1952,1893,6795,1056,673.2663,2312510,-68382.53095,694683,234965,859551,1853932,253628,574359,376273,535871,3276,422945,17426,4558906,19808,1947190,1716.02,57.2378915414316
"东莞",2020,78.81,263.88,1294600,1344200,34227,10986,13.38,4.29,9.08,1073,4262,302674,51930901,44268349,92176,0.3,53.8,45.9,112,33720,58930,21812,27954,9,28,254,335,135279,83669,357275,842240,7828,5992,37355,47831,63552991,1055215,896,240618,8029172,725.608,1195.3024,1672.97,3852,39621,5628,11604,-320,1861,1978,6026,847,694.7509,2286633,107578.6121,689542,274012,893751,2028916,341923,601528,328730,410236,831,114560,17139,5287710,19857,2562960,1552.33,53.2183887429205
"佛山",2011,113.3695,374.7651,1865478,1882173,41752,19121,11.2,5.13,6.07,987,2004.981845,1099977.135,39285815.12,21928243,84130.2784,1.765215703,63.04489022,35.18989408,82,24526,35815,12546,14727,3,14,178,423,44551,26617,323449,445475,2590,898,24283,22167,51626637,1995874.288,236,325699,215440,218.0353,390.9361,980.65,855.52,19392.21417,4478.425678,3366.257602,1749.555633,1158.723851,1128.770254,3518.891183,730.087439,341.7326,619265,515749,328383,125718,602537,834638,128974,277605,262917,137528,35077.9947,1050960.24,23951.87024,1994549,5423.28,1289754.711,900.02,6.79563733125761
"佛山",2012,114.0648,377.6486,1878773,1897713,45061,22547,11.98,5.99,5.99,994,2096.745739,1196282.727,41786114.94,23447066.41,85288.99256,1.80083152,62.90298367,35.29618481,83,25686,37710,13350,15597,3,13,189,411,45778,28522,318633,452779,2595,1085,25750,21416,53522571,2034697,155,330469,234984,209.0809,401.4965,1045.22,912.01,20408.97919,4386.052199,3913.568758,1823.080617,1172.16335,1195.79751,3651.604955,673.2259884,384.0803,661429,517326,397531,103701,682877,966523,168320,319352,268497,180147,43119.9149,1175419.05,25199.05649,2158307,5253.01,1444401.01,1050.68,17.1031615173248
"佛山",2013,115.9614,381.6127,1898275,1917852,44373,18896,11.69,4.98,6.71,1005,2169.867212,1227429.65,43763853.14,25651685.03,87193.62593,1.737511444,61.95075673,36.31173183,89,27073,39951,14355,16879,3,12,191,408,47297,19225,315613,463667,2726,970,26015,21631,60621321,2242885,205,353477,252089,214.1137,425.2371,1118.77,984.2045,21394.41499,4667.49185,4128.778857,1778.054023,1154.007566,1182.735852,3826.305634,588.5576178,438.2128,784479,564339,386316,119466,743097,1024551,163697,343596,284179,383688,49351.9864,1252671,27650.08798,2407196,5474.48,1527204.427,1238.51,25.3443630332884
